index,episode,sheet,speaker,english,dutch
1,E1,E1_FarmHouseInt_localization,Mme. Derriere,Good morning! It's simple... success in business is all about the bottom line.,Goeiemorgen! Simpel. Succes in de business begint bij de winst die je maakt.
2,E1,E1_FarmHouseInt_localization,Mme. Derriere,"One must embrace the hustle and bustle, but also have a product that changes lives.","We moeten bereid zijn hard te werken, en dat aan een product dat levens verandert."
3,E1,E1_FarmHouseInt_localization,Mme. Derriere,Yes that's our bestseller! I believe that EVERYONE can use this product and reap the benefits.,Onze best-seller! Ik denk dat iedereen de voordelen uit deze producten zullen halen.
4,E1,E1_FarmHouseInt_localization,Mme. Derriere,"We feed it to our dog, and our children too!","We geven het aan de hond, zelfs onze kinderen!"
5,E5,E5_CircusMain_localization,Mme. Derriere,I can promise you that the research I'm funding right now will transform the face of the world.,Ik kan je geruststellen — en beloven — dat het onderzoek dat we steunen onze hele wereld zal veranderen.
6,E5,E5_CircusMain_localization,Mme. Derriere,"My dear, the deaths of your precious grandson and those poor helpless villagers who burned alive—it breaks my heart.","Liefste, de dood van je lieve kleinzoon en al die hulpeloze slachtoffers, levend verbrand — ik ben er niet goed van."
7,E5,E5_CircusMain_localization,Mme. Derriere,Bumpkinites deserved more than dangerously out-of-date and accident-prone equipment.,Muilegemmers verdienen beter dan oud en gevaarlijk gerief.
8,E5,E5_CircusMain_localization,Mme. Derriere,They deserved purposeful jobs!,Ze verdienden betekenisvolle jobs!
9,E5,E5_CircusMain_localization,Mme. Derriere,They deserved Progress!,Ze verdienden vooruitgang!
10,E5,E5_CircusMain_localization,Mme. Derriere,And even you can play a part in it!,En jij kan deel uitmaken van die vooruitgang!
11,E5,E5_CircusMain_localization,Mme. Derriere,All that matters is that we don't look back.,"Wel, al wat uitmaakt is dat je niet te veel terugkijkt naar het verleden."
12,E5,E5_CircusMain_localization,Mme. Derriere,Walk with me.,Loop even met me mee.
13,E7,E7_ShippingTwo_localization,Mme. Derriere,"Whichever group of Activists has broken into my beloved Factory and let my donkeys out, hear me:","Welke groep Activisten ook heeft ingebroken in mijn geliefde Fabriek en mijn ezels heeft losgelaten, luister goed:"
14,E7,E7_ShippingTwo_localization,Mme. Derriere,You can't stop Progress.,Jullie kunnen de Vooruitgang niet stoppen.
15,E7,E7_ShippingTwo_localization,Mme. Derriere,But if you'd like to try...,Maar als je het toch wilt proberen...
16,E7,E7_ShippingTwo_localization,Mme. Derriere,Come find me in my Robotics Lab.,Kom me maar zoeken in mijn Robotica-lab.
17,E7,E7_BigBattle_localization,Mme. Derriere,Hello donkey...,Hallo ezeltje...
18,E7,E7_BigBattle_localization,Mme. Derriere,I don't know how those pesky Activists broke into my factory and let you all out.,Ik weet niet hoe die vervelende Activisten mijn fabriek zijn binnengedrongen en jullie allemaal hebben vrijgelaten.
19,E7,E7_BigBattle_localization,Mme. Derriere,But let me tell you something...,Maar laat me je iets vertellen...
20,E7,E7_BigBattle_localization,Mme. Derriere,I have a Masters in Business Administration from Mecha University.,Ik heb een Master in Business Administration van de Universiteit van Mechalen.
21,E7,E7_BigBattle_localization,Mme. Derriere,I know how to make ends meet.,Ik weet hoe ik de eindjes aan elkaar moet knopen.
22,E7,E7_BigBattle_localization,Mme. Derriere,And you're about to meet your end.,Net zoals ik jou nu ga opknopen.
23,E7,E7_BigBattle_localization,Mme. Derriere,PREPARE TO DIE!,MAAK JE KLAAR OM TE STERVEN!
24,E7,E7_BigBattle_localization,Mme. Derriere,My beautiful and expensive Robots!,Mijn prachtige en dure Robots!
25,E7,E7_BigBattle_localization,Mme. Derriere,You'll PAY FOR THIS!,HIER draai je voor op!
26,E7,E7_BigBattle_localization,Mme. Derriere,HA HA HA HA!,HA HA HA HA!
27,E7,E7_BigBattle_localization,Mme. Derriere,Look who's in the red now.,Kijk eens wie er nu in het rood staat.
28,E10,E10_ProphetSpeech_localization,Mme. Derriere,That's quite enough of that.,Zo kan die wel weer.
29,E10,E10_ProphetSpeech_localization,Mme. Derriere,Robots spewing propaganda—what will the Activists think of next!,Robots die propaganda spuwen—wat verzinnen de Activisten toch allemaal!
30,E10,E10_ProphetSpeech_localization,Mme. Derriere,"My dear Officers, I'm deeply sorry...","Lieve Agenten, het spijt mij ten zeerste..."
31,E10,E10_ProphetSpeech_localization,Mme. Derriere,Clearly some misguided radicals broke into my Factory and haphazardly set these donkeys loose onto our beautiful city.,"Het lijkt me dat ongure radicalen in mijn Fabriek zijn ingebroken, en de Ezels hebben losgelaten op onze prachtige stad."
32,E10,E10_ProphetSpeech_localization,Mme. Derriere,Clearly some misguided radicals BLEW UP my Factory and haphazardly set these donkeys loose onto our beautiful city.,"Het lijkt me dat ongure radicalen mijn Fabriek hebben OPGEBLAZEN, en de Ezels hebben losgelaten op onze prachtige stad."
33,E10,E10_ProphetSpeech_localization,Mme. Derriere,"I will pay for all of the damages they have caused, of course.",Ik zal uiteraard voor alle schade die zij hebben aangericht betalen.
34,E10,E10_ProphetSpeech_localization,Mme. Derriere,"So please, do what you must.","Dus alsjeblieft, doe wat je moet doen."
35,E10,E10_ProphetSpeech_localization,Mme. Derriere,What are you waiting for?!,Waar wachten jullie nog op?!
36,E10,E10_ProphetSpeech_localization,Mme. Derriere,Don't tell me you've been moved by that Manifesto and their cacophonous braying.,Zeg me niet dat je geraakt bent door dat Manifest en hun kakofonisch gebalk.
37,E10,E10_ProphetSpeech_localization,Mme. Derriere,Don't tell me that Robot convinced you that donkeys and Humans are all the same!,Zeg me niet dat die Robot jullie heeft overtuigd dat Ezels en Mensen allemaal hetzelfde zijn!
38,E10,E10_ProphetSpeech_localization,Mme. Derriere,Donkeys are just unintelligent and uncultured beasts!,Ezels zijn gewoon domme en onbeschaafde beesten!
39,E10,E10_ProphetSpeech_localization,Mme. Derriere,And I'm Mme. Derriere—Mecha's most philanthropic and generous employer.,En ik ben Mevr. Derrière—de meest filantropische en genereuze werkgever van Mechalen.
40,E10,E10_ProphetSpeech_localization,Mme. Derriere,My tax dollars pay for the health care of our citizens...,Mijn belastingcenten betalen de gezondheidszorg van onze burgers...
41,E10,E10_ProphetSpeech_localization,Mme. Derriere,"For our defence budget,","Voor ons defensiebudget,"
42,E10,E10_ProphetSpeech_localization,Mme. Derriere,"For our roads and highways,","Voor onze wegen en snelwegen,"
43,E10,E10_ProphetSpeech_localization,Mme. Derriere,For our precious arts and culture!,Voor onze kostbare kunst en cultuur!
44,E10,E10_ProphetSpeech_localization,Mme. Derriere,"Officers, these Asses are my Property.","Agenten, deze Ezels zijn mijn Eigendom."
45,E10,E10_ProphetSpeech_localization,Mme. Derriere,I give you permission to fire at will.,Ik geef jullie toestemming om zomaar te vuren.
46,E10,E10_ProphetSpeech_localization,Mme. Derriere,Do whatever it takes to end this most unfortunate siege against our democracy.,Doe wat nodig is om deze hoogst onfortuinlijke opstand tegen onze democratie te beëindigen.
