index,episode,sheet,speaker,english,dutch
1,E7,E7_Holding2_localization,Skinny Ass,Psst! How did you get out? Are you here to save us?!,Psst! Hoe zijn jullie hier buiten geraakt? Zijn jullie hier om ons te redden?!
2,E7,E7_Holding2_localization,Skinny Ass,Big Ass?,Mega Ezel?
3,E7,E7_Holding2_localization,Skinny Ass,"No, but I did see a hefty fellow being taken to the next room.","Nee, maar ik zag wel een forse kerel die naar de volgende kamer werd gebracht."
4,E7,E7_Holding2_localization,Skinny Ass,You should hurry...,Ge moet u haasten...
5,E7,E7_Holding2_localization,Skinny Ass,"But, whatever you do, don't let those cameras see you.","Maar, wat ge ook doet, laat die camera's u niet zien."
6,E10,E10_Government_localization,Skinny Ass,"We gotta give the Humans our demands, but how?","We moeten de Mensen onze eisen geven, maar hoe?"
7,E10,E10_Government_localization,Skinny Ass,But that's only in stories for Foals...,Maar dat bestaat alleen in verhaaltjes voor veulentjes...
8,E10,E10_Government_localization,Skinny Ass,They don't value us... You don't know what it's like.,Ze waarderen ons niet... Ge weet niet hoe dat is.
9,E10,E10_Government_localization,Skinny Ass,Tell the Humans that they must bring us all of their food.,Zeg tegen de Mensen dat ze ons al hun eten moeten brengen.
10,E10,E10_Government_localization,Skinny Ass,They eat meat. They can eat each other.,Ze eten vlees. Ze kunnen mekaar opeten.
