index,episode,sheet,speaker,english,dutch
1,E1,E1_Stable1F_localization,Old Ass,"...  ...  Trusty Ass? Comrade, are you listening?","Hè Trouwe Zak? Kameraad, hoor je me?"
2,E1,E1_Stable1F_localization,Old Ass,Now where was I...  Right...  I was lamenting the struggles of our existence.,"Waar was ik... Juist, ik was bezig me de realiteit van ons bestaan te beklagen."
3,E1,E1_Stable1F_localization,Old Ass,"Despite thousands of years of service to Humans, our Herd has lost our work.","Ondanks duizenden jaren dienst aan de Mens, heeft onze Kudde ons werk verloren."
4,E1,E1_Stable1F_localization,Old Ass,"We have been reduced to spectators, while wretched Machines do OUR jobs in OUR beloved fields.","We staan erbij en kijken ernaar, terwijl vervloekte Machines ONS werk in ONZE velden van ons afpakken."
5,E1,E1_Stable1F_localization,Old Ass,No longer will we suffer these INJUSTICES!,Wij pikken die onrechtvaardigheden voor geen seconde langer.
6,E1,E1_Stable1F_localization,Old Ass,It is high time the Humans remember how useful we've always been.,Het is hoog tijd dat we de Mensen er aan te herinneren hoe belangrijk en nuttig wij voor hen zijn geweest.
7,E1,E1_Stable1F_localization,Old Ass,To return to us the recognition and respect we deserve!,Het is tijd om ons verdiende respect en aanzien terug te grijpen.
8,E1,E1_Stable1F_localization,Old Ass,Tomorrow we will make history with our very first PROTEST.,Morgen schrijven we geschiedenis met onze alleréérste PROTEST.
9,E1,E1_Stable1F_localization,Old Ass,"Now young Comrade, good group morale is instrumental to a Protest.","Jonge Kameraad, een goed moraal binnen onze ploeg is cruciaal voor een Protest."
10,E1,E1_Stable1F_localization,Old Ass,Use your skills and go check in with the Herd.,Maak gebruik van uw vaardigheden en ga even polsen bij de Kudde.
11,E1,E1_Stable1F_localization,Old Ass,Come find me when you're done.,Kom terug wanneer je klaar bent.
12,E1,E1_Stable1F_localization,Old Ass,Come back after you've talked to everyone!,Kom terug wanneer ge met iedereen eens een klapke gedaan hebt.
13,E1,E1_Stable1F_localization,Old Ass,"Exemplary work, Comrade Trusty. Keeping up a group's morale is no easy task.","Puik werk, Kameraad Trouwe. Het moraal in orde houden is geen sinecure."
14,E1,E1_Stable1F_localization,Old Ass,"Tomorrow, our waiting will come to an end and we will restore our Herd to its rightful purpose.",Morgen is het wachten voorbij en zullen we onze Kudde weer op hun rechtmatige pad brengen.
15,E1,E1_Stable1F_localization,Old Ass,"Now hit the hay, Comrade.","Nu is 't bedtijd, Kameraad."
16,E1,E1_Stable1F_localization,Old Ass,A well earned rest awaits you in the other room.,Geniet van uw welverdiende rust.
17,E1,E1_Stable1F_localization,Old Ass,I said hit the hay in the other room! One cannot protest short on sleep.,Ik zei dat 't bedtijd was! Betogen is moeilijk wanneer ge een slaapkop hebt.
18,E1,E1_Stable2F_localization,Old Ass,Comrade!,Kameraad!
19,E1,E1_Stable2F_localization,Old Ass,The Humans... they came to get me in the night.,De mensen... ze zijn me komen pakken in 't donker...
20,E1,E1_Stable2F_localization,Old Ass,Put me in their wretched Truck-Machine...,Ze hebben me in hun vervloekte Camion-Machine gestoken...
21,E1,E1_Stable2F_localization,Old Ass,They gave me the Needle!,Ze hebben me de Spuit gegeven!
22,E1,E1_Stable2F_localization,Old Ass,But they underestimated this old Ass.,Maar ze hebben deze Oude Zak onderschat...
23,E1,E1_Stable2F_localization,Old Ass,And I... I...,En... ik... ik...
24,E1,E1_Stable2F_localization,Old Ass,I don't feel so good. Everything's getting cold...,Ik voel me niet zo lekker... Alles voelt zo koud...
25,E1,E1_Stable2F_localization,Old Ass,...,...
26,E1,E1_Stable2F_localization,Old Ass,"... I wish I could lead the Protest today, Trusty.","...Ik wou dat ik voorop het Protest kon staan, Trouwe..."
27,E1,E1_Stable2F_localization,Old Ass,I wish I could see the faces of the Humans when they wake up to us chanting ASS POWER!,...Ik wou dat ik de gezichten van de Mensen kon zien wanneer onze EZEL MACHT hun wakker schrikt!
28,E1,E1_Stable2F_localization,Old Ass,Never again will they forget how useful we Asses are!,Nooit meer vergeten ze wat ze aan ons Ezels hebben.
29,E1,E1_Stable2F_localization,Old Ass,"Please young Comrade, you have to play my role now!","Jonge Kameraad, nu is het aan u. Gij moet van me overnemen."
30,E1,E1_Stable2F_localization,Old Ass,Gather the Herd! Lead the Protest! Maintain the Morale!,Verzamel de Kudde! Start het Protest! Neem het moraal beet!
31,E1,E1_Stable2F_localization,Old Ass,SHOW THE WORLD THE POWER OF THE ASS!,LAAT DE WERELD HET LICHT VAN DE EZEL MACHT ZIEN!
32,E1,E1_Stable2F_localization,Old Ass,...,...
33,E1,E1_Stable2F_localization,Old Ass,Comrade...,Kameraad...
34,E1,E1_Stable2F_localization,Old Ass,Trusty? Are you there?,Trouwe? Ben je daar?
35,E1,E1_Stable2F_localization,Old Ass,... I'm scared.,...Ik ben bang.
36,E4,E4_AstralPlaneMain_localization,Old Ass,"...And my last words, after being given the Needle, were ""Show the World the Power of the Ass!""","...En mijn laatste woorden, nadat ik de Spuit was gegeven, waren ""Laat de Wereld de Kracht van de EZEL MACHT Zien!"""
37,E4,E4_AstralPlaneMain_localization,Old Ass,What can I say?,Wat kan ik zeggen?
38,E4,E4_AstralPlaneMain_localization,Old Ass,Hold on—Sick Ass? I would recognize that heavy breathing anywhere!,Wacht eens — SNOTEZEL? Ik zou die luide adem overal herkennen!
39,E4,E4_AstralPlaneMain_localization,Old Ass,I was just about to introduce these Newbies to our beloved Astral Plane.,Ik ging net deze Nieuwkomertjes aan ons begeerde Astrale Hiernamaals voorstellen.
40,E4,E4_AstralPlaneMain_localization,Old Ass,An open world where we Asses no longer have to suffer injustices or lament the struggles of our own existence!,Een vrije wereld waar wij Ezels niet langer de oneerlijkheid van ons bestaan hoeven te beklagen!
41,E4,E4_AstralPlaneMain_localization,Old Ass,"Not so fast, Newbie. In this marvellous place, we don't address our fellow Asses as 'Comrades'.","Niet zo snel, Nieuwkomertje. In dit magnifieke oord spreken we onze mede-Ezels niet aan als 'Kameraden'."
42,E4,E4_AstralPlaneMain_localization,Old Ass,And Protests? We don't concern ourselves with 'Politics'!,En Protesten? We houden ons hier helemaal niet bezig met 'Politiek'!
43,E4,E4_AstralPlaneMain_localization,Old Ass,Those are mere distractions from days gone by.,Afleidingen van de dagen die vervlogen zijn.
44,E4,E4_AstralPlaneMain_localization,Old Ass,Allow me to provide all of you with the lay of the land:,Laat me jullie even het landschap tonen:
45,E4,E4_AstralPlaneMain_localization,Old Ass,To the East—the sensual orgiastic Flats of Hawweeeheaww.,Naar het Oosten — de sensuele en orgiastische Vlaktes van Hawweeeheaww.
46,E4,E4_AstralPlaneMain_localization,Old Ass,To the West—the misty Hills of Hahiah.,Naar het Westen — de mistige Heuvels van Hahiah.
47,E4,E4_AstralPlaneMain_localization,Old Ass,Surrounding these lands are the Steppes of Hawawaw—the stomping grounds for the many Asses who love to race.,En rondom dit gebied liggen de Steppes van Hawawaw — dé plek voor de snelle racers onder de Ezels.
48,E4,E4_AstralPlaneMain_localization,Old Ass,This is the Shithole. But we don't talk about that.,Dit is de Protput. Daar spreken we niet over.
49,E4,E4_AstralPlaneMain_localization,Old Ass,"And this is the Pond of Hehehehe, where tonight we will make history with our very first TRAP MUSIC CONCERT. Be sure to attend!","En dit is de Vijver van Vertier, waar vanavond ons eerste TRAP MUSIC CONCERT van start gaat. Niet missen!"
50,E4,E4_AstralPlaneMain_localization,Old Ass,There's a welcome rally happening at the moment.,Er is een welkomstbijeenkomst bezig hier.
51,E4,E4_AstralPlaneMain_localization,Old Ass,I wish Trusty had been more patient when she arrived.,Ik wou dat Trouwe wat meer geduld had wanneer ze aankwam.
52,E4,E4_AstralPlaneMain_localization,Old Ass,She could not adapt to the new life we have here...,Ze zou zich niet kunnen aanpassen aan het leven hier...
53,E4,E4_AstralPlaneMain_localization,Old Ass,"But don't be scared, I know you will all fit right in.",Maar geen zorgen. Ik ben er zeker van dat jullie hier zo thuishoren.
54,E4,E4_AstralPlaneMain_localization,Old Ass,Go explore and make some new friends before DJ Dope Ass's Concert tonight!,Ga wat verkennen en vrienden maken voordat DJ Lijpe Ezel's Concert begint!
55,E4,E4_AstralPlaneMain_localization,Old Ass,"Actually, DJ Dope Ass was looking quite nervous when I last saw him down by the Pond.","Trouwens, DJ Lijpe Ezel zag er wat gespannen uit toen ik hem daarnet bij de Vijver zag."
56,E4,E4_AstralPlaneMain_localization,Old Ass,"Sick Ass, maybe you can help raise his Morale?","Snotezel, misschien kan je hem wat moed inspreken?"
57,E4,E4_AstralPlaneMain_localization,Old Ass,DJ Dope Ass is probably preparing his instruments down by the Pond. You can't miss him!,DJ Lijpe Ezel is waarschijnlijk bezig met zijn gerief klaar te zetten bij de Vijver. Je kan hem niet missen!
