Name/Key,Description,English,Spanish,French,German,Dutch,Turkish,Catalan,Japanese,Korean
Old Ass,Male Marxist/Leninist leader,Old Ass,Viejurro,Âne-cien,Alt-Esel,Ouwe Zak,Kart Eşek,Vellase,信頼できるロバ,노장 나귀
Trusty Ass,"Female protagonist, silent until Episode 8",Trusty Ass,Confianzurra,Const-ânne,Treu-Eselin,Trouwe Zak,Dost Eşek,Honradase,ナイスドンキー,믿음 나귀
Nice Ass,Female energetic worker,Nice Ass,Buenurra,Charm-ânne,Schön-und-Nett-Eselin,Schoon Beest,Hoş Eşek,Bellase,ビッグドンキー,착한 나귀
Big Ass,Male visionary,Big Ass,Giganturro,Corpul-âne,Mega-Esel,Mega Ezel,Koca Eşek,Grandase,のどが渇いたロバ,큰 나귀
Thirsty Ass,"Male, dreams of bar 'Bottom's Up'",Thirsty Ass,Sedienturro,Desséch-âne,Durschti-Esel,Dorstlap,Gevşek,Eixutase,賢いロバ,갈증 나귀
Smart Ass,Female strategist,Smart Ass,Asturra,Intellig-ânne,Klug-Eselin,Betweter,Bilmiş Eşek,Llestase,スローなロバ,잘난 나귀
Slow Ass,Male with arthritis,Slow Ass,Lenturro,Âne-retard,Lahm-Esel,Slome Ezel,Ağır Eşek,Coixase,スローなロバ,굼뜬 나귀
Sturdy Ass,"Female maternal figure, religious",Sturdy Ass,Fuerturra,Resist-ânne,Stur-Eselin,Stoere Ezel,Ana Eşek,Tossudase,頑丈なロバ,굳센 나귀
Bad Ass,Human turned donkey,Bad Ass,Cínicurro,Dissid-âne,Radikal-Esel,Waaghalske,Ters Eşek,Rudase,,불량 나귀
Kick Ass,Male angry and impulsive,Kick Ass,Golpurro,Combatt-âne,Schlag-Esel,Stampgast,Kaba Eşek,Ferase,病気のロバ,박살 나귀
Sick Ass,Female becomes Golden Ass,Sick Ass,Enfermurra,Souffr-ânne,Schlapp-Eselin,Snotezel,Hasta Eşek,Feblase,硬いロバ,몸살 나귀
Hard Ass,Male strong and stoic,Hard Ass,Durro,Vigil-âne,Hardcore-Esel,Felle Gast,Sert Eşek,Fortalase,悲しいロバ,뚝심 나귀
Sad Ass,Male mourning lost love,Sad Ass,Tristurro,Trist-âne,Deprimiert-Esel,Triestigaard,Üzgün Eşek,Tristase,怠惰なロバ,눈물 나귀
