index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Hard Ass,"At ease, Comrade Trusty.","Ingerukt, Trouwe Kameraad."
2,E1,E1_Farm_localization,Hard Ass,We Miners have decided to join Old Ass's Protest.,De Mijn-Ezels hebben beslist om het protest van Ouwe Zak te vervoegen.
3,E1,E1_Farm_localization,Hard Ass,Nothing we do tomorrow will send Comrade Lazy's Soul to the Astral Plane.,Niets wat we morgen uithalen zal de ziel van wijlen Luie Zak naar het Astrale Hiernamaals brengen.
4,E1,E1_Farm_localization,Hard Ass,"But, we owe it to her to abolish the Machines that killed her and to get our jobs back.","Maar, we zijn het haar verschuldigd om de verdomde Machines die haar hebben vermoord te verbannen, en ons werk terug te pakken."
5,E1,E1_Farm_localization,Hard Ass,We'll stick to the plan and meet the Herd at the bridge.,We houden ons aan het plan en zien de Kudde bij de brug.
6,E1,E1_Farm_localization,Hard Ass,Give my best to Sad Ass.,Het beste aan Triestigaard.
7,E1,E1_TheProtest_localization,Hard Ass,...,...
8,E1,E1_TheProtest_localization,Hard Ass,Old Ass got the Needle?,Oude Zak heeft de Spuit gekregen?
9,E1,E1_TheProtest_localization,Hard Ass,"I know how difficult it is to watch a Comrade die, even if they will one day be reborn.","Ik weet hoe moeilijk het is om een Kameraad tenonder te zien gaan, zelfs al komen ze op een dag terug."
10,E1,E1_TheProtest_localization,Hard Ass,We Miners have a saying:,"Wij, Mijn-Ezels hebben een gezegde:"
11,E1,E1_TheProtest_localization,Hard Ass,"""You only hit rock bottom when you quit.""","Pas als je 't opgeeft, is 't gedaan."
12,E1,E1_TheProtest_localization,Hard Ass,Let's go.,Kom.
13,E1,E1_TheProtest_localization,Hard Ass,"That smell, those screams—who did this?","Die geur, die schreeuwen — wie heeft dit gedaan?"
14,E1,E1_TheProtest_localization,Hard Ass,...,...
15,E2,E2_World_A1_localization,Hard Ass,Old Ass and Trusty Ass were not cut out for the role of leader. They were too soft.,Oude Zak en Trouwe Zak waren niet geschikt voor het leiderschap. Ze zijn te soft.
16,E2,E2_World_A1_localization,Hard Ass,Stop. Who made YOU the leader?,Stop. Sinds wanneer ben JIJ de baas?
17,E2,E2_World_A1_localization,Hard Ass,I do not take orders from you.,Ik pak van jou geen bevelen aan.
18,E2,E2_World_A1_localization,Hard Ass,...no.,...neen.
19,E2,E2_World_B1_localization,Hard Ass,...,...
20,E2,E2_World_B1_localization,Hard Ass,I'll do it.,Ik doe het wel.
21,E2,E2_World_B1_localization,Hard Ass,I've been through worse than a burning building.,Ik heb al erger dan dit afgebrand gebouw gezien.
22,E2,E2_World_B1_localization,Hard Ass,Time to get to work.,Tijd om er mee te beginnen.
23,E2,E2_World_B1_localization,Hard Ass,Don't get soft.,Geen mietje zijn.
24,E2,E2_ChildsHouse_localization,Hard Ass,...,...
25,E2,E2_World_B2_localization,Hard Ass,What happened in there?,Wat is daarbinnen gebeurd?
26,E2,E2_World_B2_localization,Hard Ass,Did I let that little Human die?,Heb ik die kleine Mens de dood ingejaagd?
