index,episode,sheet,speaker,english,dutch
1,E9,E9_BadCave_localization,Cole-Machine,I did it... I really did it!,'k Heb 't gedaan... 'k heb 't echt godverdomme gedaan!
2,E9,E9_BadCave_localization,Cole-Machine,All our work paid off—the Ass Soul Transfer was successful!,Al ons werk heeft vruchten afgeworpen—de Ezel-Ziel Transfer is geslaagd!
3,E9,E9_BadCave_localization,Cole-Machine,I can finally go to Mecha City!,'k Kan eindelijk naar Mechalen!
4,E9,E9_BadCave_localization,Cole-Machine,"Don't call me Bad Ass, my name is Cole.","Noem mij geen Stoere Ezel, mijn naam is Piet."
5,E9,E9_BadCave_localization,Cole-Machine,I've finally shed that ridiculous donkey form!,'k Ben eindelijk van die belachelijke ezelgedaante af!
6,E9,E9_BadCave_localization,Cole-Machine,"Kid, there's no good reason to be a 'donkey' or a 'Human' or whatever.","Kleine, er is geen enkele goede reden om een 'Ezel' te zijn of een 'Mens' of wa dan ook."
7,E9,E9_BadCave_localization,Cole-Machine,It's all about what's on the inside and what you aspire to do in this world.,'t Gaat allemaal om wa da ge vanbinnen hebt en wa da ge wilt bereiken in deze wereld.
8,E9,E9_BadCave_localization,Cole-Machine,But.,Maar.
9,E9,E9_BadCave_localization,Cole-Machine,If you have a restless soul that wants to be taken seriously and change this world...,Als ge een rusteloze ziel hebt die serieus genomen wilt worden en deze wereld wilt veranderen...
10,E9,E9_BadCave_localization,Cole-Machine,"Then, given the historical prejudice against donkeys, being a donkey is...","Dan, gezien 't historisch vooroordeel tegen ezels, is Ezel zijn..."
11,E9,E9_BadCave_localization,Cole-Machine,Not fun.,Nie plezant.
12,E9,E9_BadCave_localization,Cole-Machine,"The System is rigged against donkeys, among others.","'t Systeem is, onder anderen, gemanipuleerd tegen Ezels."
13,E9,E9_BadCave_localization,Cole-Machine,Thanks for all your help kid.,"Merci voor al uw hulp, kleine."
14,E9,E9_BadCave_localization,Cole-Machine,"Don't worry, I'll come back to visit.","Geen zorgen, 'k kom terug om je te bezoeken."
15,E9,E9_BadCave_localization,Cole-Machine,You were a great Assistant. I'll never forget you.,Ge waart ne geweldige Assistent. 'k Zal u nooit vergeten.
16,E9,E9_BadCave_localization,Cole-Machine,"Kid, the world out there isn't safe for donkeys. You know that.","Kleine, de wereld daarbuiten is nie veilig voor ezels. Da weet ge toch."
17,E9,E9_BadCave_localization,Cole-Machine,I suppose you could use the prototype...,'k Veronderstel da ge 't prototype misschien zou kunnen gebruiken...
18,E9,E9_BadCave_localization,Cole-Machine,I'll run the initializer. Give me a minute.,'k Start de initializer op. Geef mij een minuutje.
19,E9,E9_BadCave_localization,Cole-Machine,Fuck. Of all the times—,Godverdomme. Van alle momenten—
20,E9,E9_BadCave_localization,Cole-Machine,Sturdy. Stop.,Stevige. Stop.
