index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Nice Ass,Hiya Comrade! Haha I'm just too excited about tomorrow!,"Hela, Kameraad! Hehe, ik kan niet wachten tot morgen!"
2,E1,E1_Farm_localization,Nice Ass,And there's nothing like a good plow to settle the nerves. Come on and do a line!,"En niets zoals een goeie ploegbeurt om de zenuwen tegen te gaan! Voila zie, doet een lijntje!"
3,E1,E1_Farm_localization,Nice Ass,Let's plow again!,Nog een ploegbeurt!
4,E1,E1_Farm_localization,Nice Ass,Those panniers look great on you!,"Je ziet er wel goed uit met die zadelzakken, hè!"
5,E1,E1_Farm_localization,Nice Ass,"I'd totally invite you to plow with me, but you'll have to come back when you're not so busy.",Ik zou je vragen om nog even verder mee te ploegen maar misschien best wanneer je 't niet zo druk hebt.
6,E1,E1_Farm_localization,Nice Ass,"I'm usually up for a little extra night plowing, but we should get some rest before tomorrow's Protest.","Meestal heb ik wel zin in een nachtelijke ploegbeurt, maar vanavond rusten we best wat voor het Protest van morgen."
7,E1,E1_Plowing_localization,Nice Ass,"Plowing's the easiest thing in the world, isn't it?","Ploegen is 't gemakkelijkste ding ter wereld, niet?"
8,E1,E1_Plowing_localization,Nice Ass,You know what to do!,Je weet wat te doen!
9,E1,E1_Plowing_localization,Nice Ass,Gosh! You're amazing Trusty!,"Wauw, jij kan er wat van Trouwe!"
10,E1,E1_Plowing_localization,Nice Ass,"Heck, we could totally team up and show that nasty Tractor-Machine a thing or two!",Maken we een team? Die lelijke Tractor-Machine zal zien wie hier echt te baas is.
11,E1,E1_Plowing_localization,Nice Ass,We gotta stay in peak shape for when things go back to normal!,We moeten in topvorm blijven voor wanneer de zaken terug naar hun normale gangetje gaan!
12,E1,E1_Plowing_localization,Nice Ass,"So, want to do another line?",Nog een lijntje leggen?
13,E1,E1_Plowing_localization,Nice Ass,Yippee!,Yippie!
14,E1,E1_Plowing_localization,Nice Ass,That Tractor-Machine has nothing on you!,Je maakt die Tractor-Machine kapot!
15,E1,E1_Plowing_localization,Nice Ass,Again?,Nog eens?
16,E1,E1_Plowing_localization,Nice Ass,Don't worry. I believe in you. Let's try again!,"Geen zorgen, ik geloof in jou. We proberen opnieuw!"
17,E1,E1_Plowing_localization,Nice Ass,"So close, Comrade!","Bijna, Kameraad!"
18,E1,E1_Plowing_localization,Nice Ass,Again?,Nog eens?
19,E1,E1_TheProtest_localization,Nice Ass,Hiya Comrade! I'm ready to go!,Hela Kameraad! Ik ben klaar om te vertrekken!
20,E1,E1_TheProtest_localization,Nice Ass,"Wait, really? But Old Ass has been here forever!","Wacht, echt? Maar Oude Zak is hier al sinds jaar en dag!"
21,E1,E1_TheProtest_localization,Nice Ass,"Gosh, the Humans wouldn't do that, would they?","Goh, zouden de mensen dat echt doen?"
22,E1,E1_TheProtest_localization,Nice Ass,You're right Trusty! Accidents happen all the time!,"Je hebt gelijk, Trouwe! Ongelukken gebeuren nu eenmaal!"
23,E1,E1_TheProtest_localization,Nice Ass,Yikes!,Jakkes!
24,E1,E1_TheProtest_localization,Nice Ass,Trusty?,Trouwe?
25,E1,E1_TheProtest_localization,Nice Ass,What were Old Ass's last words? Perhaps they will inspire us!,Wat waren de laatste woorden van Oude Zak? Misschien kunnen ze ons inspireren!
26,E1,E1_TheProtest_localization,Nice Ass,"Thanks Trusty, that's exactly what we needed to hear!","Merci, Trouwtje. Dat was net hetgene we moesten horen."
27,E1,E1_TheProtest_localization,Nice Ass,Yikes!,Jakkes!
28,E1,E1_TheProtest_localization,Nice Ass,Let's break through this gate and cross the bridge!,Laat ons door de poort breken en de brug oversteken!
29,E1,E1_TheProtest_localization,Nice Ass,Old Ass wouldn’t want us to leave anyone behind.,Oude Zak zou niet willen dat we iemand achterlaten.
30,E1,E1_TheProtest_localization,Nice Ass,Old Ass wouldn’t want us to leave anyone behind.,Oude Zak zou niet willen dat we iemand achterlaten.
31,E1,E1_TheProtest_localization,Nice Ass,Old Ass wouldn’t want us to leave anyone behind.,Oude Zak zou niet willen dat we iemand achterlaten.
32,E1,E1_TheProtest_localization,Nice Ass,Old Ass wouldn’t want us to leave anyone behind.,Oude Zak zou niet willen dat we iemand achterlaten.
33,E1,E1_TheProtest_localization,Nice Ass,"Gosh, did the Protest start without us?!","Oei, is het Protest zonder ons gestart?"
34,E1,E1_TheProtest_localization,Nice Ass,How are we gonna rescue the Humans?,Hoe gaan we de Mensen nu redden?
35,E2,E2_World_A1_localization,Nice Ass,JEEPERS! Not the Farm!,OESJE! Toch niet de Boerderij!
36,E2,E2_World_A1_localization,Nice Ass,"Heck, I'd do anything to save our Farm!",Potvolkoffie! Ik zou alles doen om onze Boerderij te redden!
37,E2,E2_World_A1_localization,Nice Ass,"Golly, the smoke must be getting to me. This isn't the way to the Farm at all.","Oesje, de rook is te dik. Er is geen enkele weg naar de Boerderij."
38,E2,E2_World_A1_localization,Nice Ass,"Golly, the smoke must be getting to me. This isn't the way to the Farm at all.","Oesje, de rook is te dik. Er is geen enkele weg naar de Boerderij."
39,E2,E2_World_A1_localization,Nice Ass,"Golly, looks like the bridge is slowing the fire down.","Oesje, de brug lijkt het vuur tegen te houden."
40,E2,E2_World_A1_localization,Nice Ass,Sad Ass! Sturdy Ass! Bad Ass! I'm coming for you!,Triestigaard! Stoere! Waaghalske! Ik kom eraan!
41,E2,E2_World_A2_localization,Nice Ass,"The Herd is counting on me! Yuppers, this is what I've been training for!","The Kudde rekent op mij! Ja, ja — dit is waar ik voor geoefend heb."
42,E2,E2_World_A2_localization,Nice Ass,"If I plow like I've never plowed before, I can cut the fire off and save our beautiful Farm!","Als ik ploeg zoals nooit tevoren, kan ik het vuur afsnijden en onze prachtige Boerderij redden!"
43,E2,E2_World_A2_localization,Nice Ass,Hooray!,Hoera!
44,E2,E2_World_A2_localization,Nice Ass,Yikes!,Oesje!
45,E2,E2_World_A2_localization,Nice Ass,Gosh! Not the Mill!,Ai-ai-ai! Niet de Molen!
46,E2,E2_World_A2_localization,Nice Ass,Gosh! Not the Granary!,Oesje! Niet de Graanschuur!
47,E2,E2_World_A2_localization,Nice Ass,Jeepers! It's spreading across the Forest!,Jemig! Het spreidt zich richting het Bos!
48,E2,E2_World_A2_localization,Nice Ass,Yikes! We're going to lose the whole field!,Oesje! We gaan het hele veld verliezen!
49,E2,E2_World_A2_localization,Nice Ass,"If I cut the fire off at the centre, I can still save the North Half of the Farm.","Als ik het vuur bij het midden afsnijd, kan ik nog het noordelijke deel van de Boerderij redden."
50,E2,E2_World_A2_localization,Nice Ass,Not the Stable too!—,Niet de Stal!-
51,E2,E2_World_A2_localization,Nice Ass,Sad Ass?,(Sad Ass)?
52,E2,E2_World_A2_localization,Nice Ass,I've got to make it to the Outhouse before it's too late!,Ik moet de Hudo bereiken voor het te laat is!
53,E2,E2_World_A2_localization,Nice Ass,Yikes...,Jakkes...
54,E2,E2_Confession_localization,Nice Ass,Sad Ass! Quit hiding in the outhouse!,(Sad Ass)! Stopt met je in de Hudo te verstoppen!
