index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Sad Ass,Oh hullo Trusty...  thanks for noticing me...,Ohh hallo'kes Trouwe... fijn dat je me opmerkt...
2,E1,E1_Farm_localization,Sad Ass,Wish I could say 'good' afternoon...  but it's not...,Wou dat ik 'goeie' middag kon zeggen... maar het is helemaal niet zo goed...
3,E1,E1_Farm_localization,Sad Ass,"You probably forgot, but today's the anniversary of the tragic cave-in...","Misschien was je 't vergeten, maar vandaag is het de gedenkdag van de instorting in de grotten..."
4,E1,E1_Farm_localization,Sad Ass,The love of my life was crushed in the Mines one year ago...,Een jaar geleden werd de liefde van mijn leven verpletterd in de Mijnen...
5,E1,E1_Farm_localization,Sad Ass,And now her Soul is stuck down there forever...,En haar ziel zit daar vast... voor altijd...
6,E1,E1_Farm_localization,Sad Ass,I still see Lazy Ass's beautiful dark grey eyes in my dreams...,Ik zie Luie Zak haar mooie donkergrijze ogen nog altijd in mijn dromen...
7,E1,E1_Farm_localization,Sad Ass,*whimper*,*boe-hoe-hoe-hoe*
8,E1,E1_Farm_localization,Sad Ass,I'm holding a Vigil in her memory...,Ik hou een korte wake in haar nagedachtenis...
9,E1,E1_Farm_localization,Sad Ass,Bad Ass gave me this candle...,Waaghals gaf me deze kaars...
10,E1,E1_Farm_localization,Sad Ass,Could you bring me some matches for my candle...?,Kan je me misschien wat lucifers brengen...?
11,E1,E1_Farm_localization,Sad Ass,Did you find the matches? They might be in the Stable...,Heb je lucifers gevonden? Ze liggen misschien in de Stal...
12,E1,E1_Farm_localization,Sad Ass,Thanks for the matches...  hope I don't burn myself...,Bedankt voor de lucifers... zien dat ik mezelf niet verbrand...
13,E1,E1_Farm_localization,Sad Ass,*whimper*,*boe-hoe-hoe-hoe*
14,E1,E1_Farm_localization,Sad Ass,Condolences from Hard Ass...?,Innige deelneming van Felle Gast..?
15,E1,E1_Farm_localization,Sad Ass,Sometimes I wish he hadn't switched shifts with Lazy Ass that day...,Soms wou ik dat hij op die dag nooit zijn shift met Luie Zak had verwisseld...
16,E1,E1_Farm_localization,Sad Ass,*whimper*,*boe-hoe-hoe-hoe*
17,E1,E1_TheProtest_localization,Sad Ass,Not Old Ass... I’m sorry Trusty. Things have gone from bad to worse...,"Oh nee, niet Oude Zak.. Het spijt me Trouwe. De zaken zijn van kwaad naar erger gegaan..."
18,E1,E1_TheProtest_localization,Sad Ass,I think you should postpone the Protest...,Ik denk dat je het Protest moet uitstellen.
19,E1,E1_TheProtest_localization,Sad Ass,I wouldn't go if I were you...,Ik zou niet gaan als ik jou was...
20,E1,E1_TheProtest_localization,Sad Ass,*whimper*,*boe-hoe-hoe-hoe*
21,E1,E1_TheProtest_localization,Sad Ass,*whimper*,*boe-hoe-hoe-hoe*
22,E2,E2_World_A2_localization,Sad Ass,*whimper*,*boehoehoehoe*
23,E2,E2_World_A2_localization,Sad Ass,*whimper*,*boehoehoehoe*
24,E2,E2_Confession_localization,Sad Ass,*whimper*,*boehoehoehoe*
25,E2,E2_Confession_localization,Sad Ass,Nice Ass?,(Nice Ass)?
26,E2,E2_Confession_localization,Sad Ass,I don't have it in me to move... I'm all alone...,Ik w-weet niet of ik het in m-me heb om verder te gaan. Ik ben h-helemaal alleen.
27,E2,E2_Confession_localization,Sad Ass,I'm staying put...,Ik blijf hier...
28,E2,E2_Confession_localization,Sad Ass,Just go away...,Ga gewoon weg...
29,E2,E2_Confession_localization,Sad Ass,Please stop...,Stop alsjeblieft...
30,E2,E2_Confession_localization,Sad Ass,Don't come in!,Niet binnenkomen!
31,E2,E2_Confession_localization,Sad Ass,I'm a monster... A worthless beast...,Ik ben een monster... Een nutteloos beest...
32,E2,E2_Confession_localization,Sad Ass,I AM!,"JAWEL, TOCH WEL."
33,E2,E2_Confession_localization,Sad Ass,I spend my days doing nothing...,Ik spendeer mijn heler dagen met niets te doen.
34,E2,E2_Confession_localization,Sad Ass,Just wallowing in my grief...,Gewoon... wentelen in mijn eigen verdriet.
