index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Trusty Ass,Ahh!,Ahh!
2,E1,E1_Farm_localization,Trusty Ass,It's just a scarecrow.,Het is maar een vogelverschrikker.
3,E1,E1_Farm_localization,Trusty Ass,It's the Farmer's house...,Dat is het huis van de Boer...
4,E1,E1_Farm_localization,Trusty Ass,The Truck-Machine is gone. The Humans must be in the Village.,De Camion-Machine is weg. De mensen moeten ergens in naar het dorp zijn.
5,E1,E1_Farm_localization,Trusty Ass,It's the Tractor-Machine...,Dat is de Tractor-Machine...
6,E1,E1_Farm_localization,Trusty Ass,A rusty bucket...,Een roestige emmer...
7,E1,E1_Farm_localization,Trusty Ass,It's a pile of wood...,Dat is een hoop hout...
8,E1,E1_Farm_localization,Trusty Ass,The Truck-Machine is back...,De Camion-Machine is terug...
9,E1,E1_Mill_localization,Trusty Ass,A pair of panniers...,Een paar zadelzakken...
10,E1,E1_Mill_localization,Trusty Ass,The noisy Mill-Machine...,De luide Molen-Machine...
11,E1,E1_Mill_localization,Trusty Ass,Bags of fresh flour...,Zakken met verse bloem...
12,E1,E1_Stable2F_localization,Trusty Ass,Matches...,Lucifers...
13,E1,E1_TheatreInt_localization,Trusty Ass,These seats are all facing one direction.,De zitjes staan in dezelfde richting opgesteld.
14,E1,E1_TheProtest_localization,Trusty Ass,Ahh!,Ahh!
15,E1,E1_TheProtest_localization,Trusty Ass,It's just a scarecrow.,Het is maar een vogelverschrikker.
16,E1,E1_TheProtest_localization,Trusty Ass,It's the Tractor-Machine...,Dat is de Traktor-Machine...
17,E1,E1_TheProtest_localization,Trusty Ass,"Old Ass died saying: ""I'm scared.""",Ik ben bang waren Oude's laatste woorden.
18,E1,E1_TheProtest_localization,Trusty Ass,"Old Ass died saying: ""Show the world the power of the Ass!""",Laat de wereld het licht van EZEL MACHT zien! waren Oude's laatste woorden.
19,E1,E1_TheProtest_localization,Trusty Ass,"The Herd's Morale is low, now is the time to SAY something...","Het moraal van de Kudde is niet best, misschien de moment om IETS te zeggen?"
20,E1,E1_TheProtest_localization,Trusty Ass,REMEMBER OLD ASS'S PARTING WORDS:,ONTHOUD OUDE ZAK ZIJN LAATSTE WOORDEN:
21,E1,E1_TheProtest_localization,Trusty Ass,SHOW THE WORLD THE POWER OF THE ASS!,LAAT DE WERELD HET LICHT VAN DE EZEL MACHT ZIEN!
22,E1,E1_TheProtest_localization,Trusty Ass,"WHEN I SAY ASS, YOU SAY POWER!","IK ZEG EZEL, JIJ ZEGT MACHT!"
23,E1,E1_TheProtest_localization,Trusty Ass,ASS!,EZEL!
24,E1,E1_TheProtest_localization,Trusty Ass,ASS!,EZEL!
25,E1,E1_TheProtest_localization,Trusty Ass,Let me hear you say... DON'T BE SCARED!,Laat me jullie het horen zeggen... WEES NIET BANG!
26,E1,E1_TheProtest_localization,Trusty Ass,Thirsty thinks it'd be easier to get water from the Well.,Dorstlap denkt dat het beter is om water uit de put te halen.
27,E1,E1_TheProtest_localization,Trusty Ass,Thirsty thinks it'd be easier to get water from the Well!,Dorstlap denkt dat het beter is om water uit de put te halen!
28,E1,E1_TheProtest_localization,Trusty Ass,I've analyzed the situation and—,Ik heb de situatie bekeken en—
29,E1,E1_TheProtest_localization,Trusty Ass,In the beginning there was Ass. Now there is...,"In den beginne, was er Ezel... En nu..."
30,E1,E1_TheProtest_localization,Trusty Ass,Ahem—,Ahum—
31,E1,E1_TheProtest_localization,Trusty Ass,Whoops!,Ooeeeeps!
32,E8,E8_SanctumMain_localization,Trusty Ass,Comrade Sick Ass?!,Kameraad Snot Ezel?!
33,E8,E8_SanctumMain_localization,Trusty Ass,Didn't we meet at the Protest?,Hebben we elkaar niet ontmoet bij het Protest?
34,E8,E8_SanctumMain_localization,Trusty Ass,If only I hadn't fallen down that well...,Als ik maar niet in die put was gevallen...
35,E8,E8_SanctumMain_localization,Trusty Ass,I was so ready to give a stirring speech.,Ik was zo klaar om een meeslepende toespraak te geven.
36,E8,E8_SanctumMain_localization,Trusty Ass,I was so ready to inspire everyone with the Traditional Ass Posture.,Ik was zo klaar om iedereen te inspireren met de Traditionele Ezelshouding.
