index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.",Welkom op de Boerderij van Muilegem. Ten westen: onze prachtige Erfgoedshoeve en korenvelden.
2,E1,E1_Farm_localization,Welcome Sign,"To the south, our state of the art Mill and Granary.","Naar 't zuiden, onze piekfijne Molen en Graanschuur."
3,E1,E1_TheProtest_localization,Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.",Welkom op de Boerderij van Muilegem. Ten westen: onze prachtige Erfgoedshoeve en korenvelden.
4,E1,E1_TheProtest_localization,Welcome Sign,"To the south, our state of the art Mill and Granary.","Ten zuiden, onze piekfijne Molen en Graanschuur."
5,E2,E2_World_A1_localization,Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.","Welkom op de Boerderij van Muilegem. Ten westen, onze prachtige Erfgoedshoeve en korenvelden."
6,E2,E2_World_A1_localization,Welcome Sign,"To the south, our state of the art Mill and Granary.","Naar 't zuiden, onze piekfijne Molen en Graanschuur."
7,E2,E2_World_B1_localization,Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.","Welkom op de Boerderij van Muilegem. Ten westen, onze prachtige Erfgoedshoeve en korenvelden."
8,E2,E2_World_B1_localization,Welcome Sign,"To the south, our state of the art Mill and Granary.","Naar 't zuiden, onze piekfijne Molen en Graanschuur."
9,E2,E2_World_B2_localization,Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.","Welkom op de Boerderij van Muilegem. Ten westen, onze prachtige Erfgoedshoeve en korenvelden."
10,E2,E2_World_B2_localization,Welcome Sign,"To the south, our state of the art Mill and Granary.","Naar 't zuiden, onze hoogmoderne Molen en Graanschuur."
