index,episode,sheet,speaker,english,dutch
1,E8,E8_TheGods_localization,Haw,Of time and passage.,Van tijd en overgang.
2,E8,E8_TheGods_localization,Haw,Of difference.,Van verschil.
3,E8,E8_TheGods_localization,Haw,"We shall wipe your memories, so that your Soul can enter into a new Ass without impediment.","Wij zullen uw herinneringen wissen, opdat uw Ziel ongehinderd een nieuw Ezellichaam kan binnentreden."
4,E8,E8_TheGods_localization,Haw,Prepare yourself for Reassignment.,Bereid u voor op Heraanstelling.
5,E8,E8_TheGods_localization,Haw,"As our godly burden is to carry the Universe upon our back, we cannot interfere in the Material World without putting all life at risk.","Gezien onze goddelijk last der dragen van het Universum op onze rug, kunnen wij niet ingrijpen in de Materiële Wereld zonder al het leven in gevaar te brengen."
6,E8,E8_TheGods_localization,Haw,"Thus, when we can, we elect a Vassal to be our Avatar.","Aldus, wanneer het ons gegeven is, verkiezen wij een Vazal tot onze Avatar."
7,E8,E8_TheGods_localization,Haw,"It is through this Vassal, this ""Golden Ass"", that we return to the Material World and initiate our holy Revolutions.","Het is door deze Vazal, deze ""Gouden Ezel"", dat wij terugkeren naar de Materiële Wereld en onze heilige Revoluties in gang zetten."
8,E8,E8_TheGods_localization,Haw,The Humans' games must come to an end.,De spelletjes der Mensen dienen een einde te nemen.
9,E8,E8_TheGods_localization,Haw,We look forward to working with you and rectifying this sorrowful situation.,Wij zien ernaar uit met u samen te werken en deze droevige toestand te herstellen.
10,E8,E8_TheGods_localization,Haw,"No no, the Humans are too powerful to play that.","Neen neen, de Mensen zijn te machtig om dat spel te spelen."
11,E8,E8_TheGods_localization,Haw,That play hasn't shown many results in recent history. We should try something else.,Die zet heeft in de recente geschiedenis weinig vruchten afgeworpen. Wij dienen iets anders te proberen.
12,E8,E8_TheGods_localization,Haw,Ah yes. Operation Prophet.,Ah ja. Operatie Profeet.
13,E8,E8_TheGods_localization,Haw,The Humans will never see it coming!,De mensen zullen het nooit zien aankomen!
14,E9,E9_GoldenAss_localization,Haw,"Yes, it would be a very different version of Operation Prophet.","Ja, het zou een geheel andere gedaante van Operatie Profeet zijn."
15,E9,E9_GoldenAss_localization,Haw,Or the one with higher intelligence and more experience yet lacking in social graces?,"Of degene met een hoger verstand en rijkere ervaring, doch verstoken van alle sociale gratie?"
16,E10,E10_ProphetSpeech_localization,Haw,We were out of practice.,Wij waren een beetje roestig.
