index,episode,sheet,speaker,english,dutch
1,E1,E1_FarmHouseInt_localization,Radio Host Marcos,*ksh* Welcome back listeners to Mecha in the Morning!,"*tsj* Beste luisteraars, welkom terug bij Mechalen Morgen!"
2,E1,E1_FarmHouseInt_localization,Radio Host Marcos,We're here with Mecha City's most philanthropic and generous employer Mme. Derriere.,We zijn hier met de grootste en meest filantropische werkgever in Mechalen: Mevrouw Derrière.
3,E1,E1_FarmHouseInt_localization,Radio Host Marcos,Tell us... what is the secret to your success?,Vertel ons eens... wat is het het geheim van je succes?
4,E1,E1_FarmHouseInt_localization,Radio Host Marcos,"*ksh* My wife uses your products every morning, and I gotta say I like it too.",*tsj* Mijn vrouw gebruikt elke ochtend jullie producten! En ik moet zeggen dat ik ze zelf ook op prijs stel.
5,E1,E1_FarmHouseInt_localization,Radio Host Marcos,We're over the moon! My glutes have never felt so smooth.,We zijn superblij! Mijn billen hebben nog nooit zo zacht gevoeld.
6,E1,E1_FarmHouseInt_localization,Radio Host Marcos,I'm brimming with vitality and stamina.,Ik barst van vitaliteit en uithouding.
7,E1,E1_FarmHouseInt_localization,Radio Host Marcos,And it comes in three flavours! My favourite is the Polar Mint.,En drie smaken! Mijn favoriet is de Muntige Muil.
8,E1,E1_FarmHouseInt_localization,Radio Host Marcos,And now it's time for the weather update...,En nu tijd voor het weerbericht...
9,E1,E1_FarmHouseInt_localization,Radio Host Marcos,It's a scorcher! It's looking dry as a bone out there in the Greater Fannyside Region as the drought continues.,Bakken en braden vandaag! Het is kurkdroog in de regio van Groot-Muilegem en de droogte blijft aanhouden.
10,E1,E1_FarmHouseInt_localization,Radio Host Marcos,"If you need a place to take the kids, get your butts to the Mecha City Zoo, or see the new show at the Big City Circus!","Mocht je een plek zoeken om met je familie heen te gaan, rep je achterwerk naar de zoo van Mechalen! Of ga naar de nieuwe show in het stadscircus!"
11,E10,E10_Government_localization,Radio Host Marcos,*ksh* And we're back with this afternoon's special coverage of today's dramatic events.,*tsj* En we zijn er weer met onze speciale verslaggeving van de dramatische gebeurtenissen van vanmiddag.
12,E10,E10_Government_localization,Radio Host Marcos,Mecha's Government building has been overrun by donkeys.,Het regeringsgebouw van Mechalen is overrompeld door ezels.
13,E10,E10_Government_localization,Radio Host Marcos,"That's right. You heard me, donkeys.","Ja, je hoort het goed. Ezels."
14,E10,E10_Government_localization,Radio Host Marcos,We have reports that all staffers have managed to escape out the back door.,We krijgen berichten binnen dat alle medewerkers erin geslaagd zijn via de achterdeur te ontsnappen.
15,E10,E10_Government_localization,Radio Host Marcos,Police are struggling to fathom how security forces and intelligence agencies have failed to stop the threat.,De politie weet nietl hoe de veiligheidsdiensten en inlichtingendiensten er niet in geslaagd zijn de dreiging te stoppen.
16,E10,E10_Government_localization,Radio Host Marcos,The animals appear to have escaped from Mme. Derriere's Assorted Meats and Beauty Goods Factory.,De dieren lijken ontsnapt te zijn uit de Fabriek voor Gemengd Vlees en Schoonheidsproducten van Mevr. Derrière.
17,E10,E10_Government_localization,Radio Host Marcos,We'll have more on this story at the top of the hour.,Meer over dit verhaal aan de top van het uur.
18,E10,E10_Government_localization,Radio Host Marcos,"Up next, the #2 song on Mecha's Top 40! asi9 by David Mesiha.","En dan nu, de nummer 2 op Mechalens Top 40!  van David Mesiha."
